uid,title,year,runtime_mins,ave_rating,num_votes
tt0021068,The Song Is Ended,1930.0,102.0,7.4,44.0
tt0021069,The Life of the Party,1930.0,79.0,5.6,130.0
tt0021075,The Inn at the Rhine,1930.0,98.0,,
tt0021094,The Lottery Bride,1930.0,80.0,5.2,142.0
tt0021099,Love at First Sight,1929.0,65.0,,
tt0021100,Love in the Rough,1930.0,84.0,5.5,170.0
tt0021101,The Loves of Robert Burns,1930.0,96.0,,
tt0021106,Madam Satan,1930.0,116.0,6.5,865.0
tt0021123,The March of Time,1930.0,,,
tt0021127,Die Marquise von Pompadour,1931.0,104.0,,
tt0021152,Montana Moon,1930.0,89.0,4.7,437.0
tt0021153,Monte Carlo,1930.0,90.0,6.8,1123.0
tt0021169,A Girl from the Reeperbahn,1930.0,98.0,,
tt0021178,New Moon,1930.0,78.0,6.0,142.0
tt0021179,New Movietone Follies of 1930,1930.0,84.0,6.8,17.0
tt0021185,"No, No, Nanette",1930.0,98.0,6.2,21.0
tt0021193,Nur Du,1930.0,85.0,,
tt0021199,"Oh, for a Man!",1930.0,78.0,5.7,41.0
tt0021200,"Oh, Sailor Behave!",1930.0,70.0,5.3,24.0
tt0021215,One Mad Kiss,1930.0,64.0,,
tt0021261,Playboy of Paris,1930.0,79.0,6.4,59.0
tt0021279,Queen High,1930.0,85.0,6.3,97.0
tt0021280,One Heavenly Night,1930.0,82.0,5.0,135.0
tt0021307,The Rogue Song,1930.0,104.0,5.8,127.0
tt0021321,The Road Is Fine,1930.0,,5.1,9.0
tt0021334,The Sap from Syracuse,1930.0,68.0,6.0,75.0
tt0021371,Show Girl in Hollywood,1930.0,80.0,6.3,282.0
tt0021378,Die singende Stadt,1930.0,98.0,6.2,30.0
tt0021394,So Long Letty,1929.0,64.0,6.2,144.0
tt0021402,Song of Soho,1930.0,96.0,,
tt0021404,The Song of the Flame,1930.0,96.0,4.7,21.0
tt0021405,Song of the West,1930.0,82.0,5.9,13.0
tt0021407,Sons of the Saddle,1930.0,76.0,6.0,6.0
tt0021408,Soup to Nuts,1930.0,70.0,6.1,344.0
tt0021409,Under the Roofs of Paris,1930.0,96.0,7.1,2008.0
