College,Course Prefix,Department,Total Students,gpa_total,Average GPA,semester
Liberal Arts,MAS,Mexican American Studies,553.0,1826.5,3.3029,Fall 2021
Liberal Arts,MEL,Middle Eastern Languages And Cultures,22.0,56.67,2.5759,Fall 2021
Liberal Arts,MES,Middle Eastern Studies,136.0,461.37,3.3924,Fall 2021
Liberal Arts,N S,Naval Science,23.0,78.35,3.4065,Fall 2021
Liberal Arts,NOR,Norwegian,15.0,40.33,2.6887,Fall 2021
Liberal Arts,PHL,Philosophy,1818.0,5770.67,3.1742,Fall 2021
Liberal Arts,POR,Portuguese,76.0,252.99,3.3288,Fall 2021
Liberal Arts,PRC,Portuguese Civilization,17.0,59.34,3.4906,Fall 2021
Liberal Arts,PRS,Persian,13.0,48.68,3.7446,Fall 2021
Liberal Arts,PSY,Psychology,5270.0,16384.2,3.109,Fall 2021
Liberal Arts,R S,Religious Studies,455.0,1569.4,3.4492,Fall 2021
Liberal Arts,REE,"Russian, East European, And Eurasian Studies",176.0,523.05,2.9719,Fall 2021
Liberal Arts,RHE,Rhetoric And Writing,1397.0,4614.13,3.3029,Fall 2021
Liberal Arts,RIM,"Race, Indigeneity, And Migration",69.0,238.06,3.4501,Fall 2021
Liberal Arts,RUS,Russian,102.0,314.69,3.0852,Fall 2021
Liberal Arts,S S,Social Science,54.0,185.35,3.4324,Fall 2021
Liberal Arts,SOC,Sociology,3007.0,10011.51,3.3294,Fall 2021
Liberal Arts,SPC,Spanish Civilization,18.0,63.019999999999996,3.5011,Fall 2021
Liberal Arts,SPN,Spanish,2127.0,6898.31,3.2432,Fall 2021
Liberal Arts,SUS,Sustainability Studies,111.0,393.71000000000004,3.5469,Fall 2021
Liberal Arts,SWE,Swedish,11.0,32.67,2.97,Fall 2021
Liberal Arts,T C,Tutorial Course,262.0,934.77,3.5678,Fall 2021
Liberal Arts,URB,Urban Studies,80.0,282.37,3.5296,Fall 2021
Liberal Arts,URD,Urdu,8.0,31.009999999999998,3.8762,Fall 2021
Liberal Arts,UTL,UTeach-Liberal Arts,65.0,236.68,3.6412,Fall 2021
Liberal Arts,WGS,Women's And Gender Studies,263.0,894.36,3.4006,Fall 2021
Liberal Arts,YID,Yiddish,10.0,32.01,3.201,Fall 2021
Natural Sciences,AST,Astronomy,1597.0,5182.61,3.2452,Fall 2021
Natural Sciences,BCH,Biochemistry,1336.0,4276.0,3.2006,Fall 2021
Natural Sciences,BIO,Biology,9823.0,31623.76,3.2194,Fall 2021
Natural Sciences,C S,Computer Science,6823.0,20304.44,2.9759,Fall 2021
Natural Sciences,CH,Chemistry,9613.0,26463.87,2.7529,Fall 2021
Natural Sciences,HDF,Human Development And Family Sciences,1178.0,4218.68,3.5812,Fall 2021
Natural Sciences,M,Mathematics,9342.0,29231.28,3.129,Fall 2021
Natural Sciences,MNS,Marine Science,185.0,574.05,3.103,Fall 2021
Natural Sciences,MOL,Molecular Biology,81.0,288.33,3.5596,Fall 2021
Natural Sciences,NEU,Neuroscience,864.0,2552.0099999999998,2.9537,Fall 2021
Natural Sciences,NSC,Natural Sciences,387.0,1340.05,3.4627,Fall 2021
Natural Sciences,NTR,Nutrition,2593.0,9194.14,3.5458,Fall 2021
Natural Sciences,P S,Physical Science,212.0,636.72,3.0034,Fall 2021
Natural Sciences,PBH,Public Health,654.0,2348.15,3.5904,Fall 2021
Natural Sciences,PHY,Physics,4737.0,14874.31,3.14,Fall 2021
Natural Sciences,SDS,Statistics And Data Sciences,2493.0,8116.5199999999995,3.2557,Fall 2021
Natural Sciences,TXA,Textiles And Apparel,527.0,1780.72,3.379,Fall 2021
Natural Sciences,UTS,UTeach-Natural Sciences,469.0,1623.77,3.4622,Fall 2021
Nursing,N,Nursing,1314.0,4718.72,3.5911,Fall 2021
Other,CSE,"Computational Science, Engineering, And Mathematics",138.0,460.71,3.3385,Fall 2021
Other,DSC,Data Science,870.0,2348.13,2.699,Fall 2021
Other,EER,Energy And Earth Resources,28.0,100.35,3.5839,Fall 2021
Other,ENM,Engineering Management,103.0,358.42,3.4798,Fall 2021
Other,GRG,Geography,1004.0,2943.25,2.9315,Fall 2021
Other,H E,Human Ecology,48.0,167.67000000000002,3.4931,Fall 2021
Other,HCT,Health Care Transformation,36.0,139.67,3.8797,Fall 2021
Other,LAW,Law,3827.0,12640.72,3.303,Fall 2021
Other,MSE,Materials Science And Engineering,26.0,96.35,3.7058,Fall 2021
Other,STC,Science And Technology Commercialization,245.0,844.43,3.4467,Fall 2021
Pharmacy,PHM,Pharmacy PharmD,2777.0,9711.039999999999,3.497,Fall 2021
Social Work,S W,Social Work,1371.0,4918.55,3.5876,Fall 2021
Undergraduate Studies,BDP,Bridging Disciplines,94.0,321.05,3.4154,Fall 2021
Undergraduate Studies,UGS,Undergraduate Studies,5362.0,19174.3,3.576,Fall 2021
Architecture,ARC,Architecture,104.0,370.4,3.5615,Summer 2021
Architecture,ARI,Architectural Interior Design,6.0,21.67,3.6117,Summer 2021
Architecture,CRP,Community And Regional Planning,13.0,39.34,3.0262,Summer 2021
Architecture,LAR,Landscape Architecture,15.0,53.35,3.5567,Summer 2021
Business,ACC,Accounting,496.0,1618.54,3.2632,Summer 2021
Business,B A,Business Administration,910.0,3275.99,3.6,Summer 2021
Business,BGS,"Business, Government, And Society",57.0,200.98,3.526,Summer 2021
Business,FIN,Finance,418.0,1256.99,3.0072,Summer 2021
